parse_run_id,task_id,filing_id,mineru_task_id,parser_name,parser_version,schema_version,rule_version,status,started_at,completed_at,quality_score,quality_summary,raw,created_at,updated_at
run_0df868b5693cbe258108f3ec,1bfff2c9-bbbe-47fb-a5d5-a0252392a742,filing_4c0f273a4c7c61597deff346,,mineru,3.1.2,1,financial_rules_v14,,,,98,"{""warnings"": [""发现 7 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。""], ""table_count"": 504, ""found_sections"": [""重要提示"", ""公司简介"", ""主要财务指标"", ""管理层讨论与分析"", ""公司治理"", ""重要事项"", ""股份变动"", ""财务报告""], ""image_ref_count"": 17, ""empty_cell_count"": 2548, ""fact_table_count"": 490, ""missing_sections"": [], ""dimension_table_count"": 14, ""found_financial_tables"": [""主要会计数据"", ""主要财务指标"", ""非经常性损益"", ""资产负债表"", ""利润表"", ""现金流量表"", ""所有者权益变动表""], ""single_row_table_count"": 0}","{""task"": {""stage"": null, ""status"": null, ""task_id"": ""1bfff2c9-bbbe-47fb-a5d5-a0252392a742"", ""filename"": ""瑞丰银行：浙江绍兴瑞丰农村商业银行股份有限公司2025年年度报告.pdf"", ""created_at"": null, ""completed_at"": null, ""submit_config"": {}, ""mineru_task_id"": null, ""pdf_page_count"": null}, ""result_payload_summary"": {""backend"": ""hybrid-http-client"", ""version"": ""3.1.2"", ""file_keys"": [""content_list"", ""images"", ""md_content"", ""middle_json"", ""model_output""], ""result_file"": ""瑞丰银行：浙江绍兴瑞丰农村商业银行股份有限公司2025年年度报告""}}",2026-05-16 03:50:45.370229+00,2026-05-16 03:50:45.370229+00
run_1fb5b1ca3cd00a4393aaa2c5,b48e4c3b-91c4-47ca-8e32-d14bb4174ea1,filing_db1e5b60c1936edcee620b45,,mineru,3.1.2,1,financial_rules_v14,,,,98,"{""warnings"": [""发现 17 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。""], ""table_count"": 281, ""found_sections"": [""重要提示"", ""公司简介"", ""主要财务指标"", ""管理层讨论与分析"", ""公司治理"", ""重要事项"", ""股份变动"", ""财务报告""], ""image_ref_count"": 2, ""empty_cell_count"": 743, ""fact_table_count"": 266, ""missing_sections"": [], ""dimension_table_count"": 15, ""found_financial_tables"": [""主要会计数据"", ""主要财务指标"", ""非经常性损益"", ""资产负债表"", ""利润表"", ""现金流量表"", ""所有者权益变动表""], ""single_row_table_count"": 4}","{""task"": {""stage"": null, ""status"": null, ""task_id"": ""b48e4c3b-91c4-47ca-8e32-d14bb4174ea1"", ""filename"": ""上海莱士：2025年年度报告.pdf"", ""created_at"": null, ""completed_at"": null, ""submit_config"": {}, ""mineru_task_id"": null, ""pdf_page_count"": null}, ""result_payload_summary"": {""backend"": ""hybrid-http-client"", ""version"": ""3.1.2"", ""file_keys"": [""content_list"", ""images"", ""md_content"", ""middle_json"", ""model_output""], ""result_file"": ""上海莱士：2025年年度报告""}}",2026-05-16 03:51:19.949586+00,2026-05-16 03:51:19.949586+00
run_31f282cf1a47149142d6f4c6,7c3ae503-f78d-442e-b391-3eadf4fda17e,filing_09bd06b87123761c54407983,,mineru,3.1.2,1,financial_rules_v14,,,,98,"{""warnings"": [""发现 3 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。""], ""table_count"": 476, ""found_sections"": [""重要提示"", ""公司简介"", ""公司治理"", ""重要事项"", ""股份变动"", ""财务报告""], ""image_ref_count"": 33, ""empty_cell_count"": 3383, ""fact_table_count"": 471, ""missing_sections"": [""主要财务指标"", ""管理层讨论与分析""], ""dimension_table_count"": 5, ""found_financial_tables"": [""主要会计数据"", ""主要财务指标"", ""非经常性损益"", ""资产负债表"", ""利润表"", ""现金流量表"", ""所有者权益变动表""], ""single_row_table_count"": 0}","{""task"": {""stage"": null, ""status"": null, ""task_id"": ""7c3ae503-f78d-442e-b391-3eadf4fda17e"", ""filename"": ""工商银行：工商银行2025年度报告.pdf"", ""created_at"": null, ""completed_at"": null, ""submit_config"": {}, ""mineru_task_id"": null, ""pdf_page_count"": null}, ""result_payload_summary"": {""backend"": ""hybrid-http-client"", ""version"": ""3.1.2"", ""file_keys"": [""content_list"", ""images"", ""md_content"", ""middle_json"", ""model_output""], ""result_file"": ""工商银行：工商银行2025年度报告""}}",2026-05-16 03:51:04.847043+00,2026-05-16 03:51:04.847043+00
run_35947466e10fc678adfb7922,a65972d0-aa69-4b76-82ef-a0fc2c030240,filing_c0f5d13b91c9be1b54b03c7a,cf6e90fa-6d1d-4864-8f8e-5d4e570477d0,mineru,3.1.2,1,financial_rules_v14,completed,2026-05-18 07:57:13+00,2026-05-18 08:05:26+00,98,"{""warnings"": [""发现 24 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。""], ""table_count"": 247, ""found_sections"": [""重要提示"", ""公司简介"", ""主要财务指标"", ""管理层讨论与分析"", ""公司治理"", ""重要事项"", ""股份变动"", ""财务报告""], ""image_ref_count"": 1, ""empty_cell_count"": 3954, ""fact_table_count"": 240, ""missing_sections"": [], ""dimension_table_count"": 7, ""found_financial_tables"": [""主要会计数据"", ""主要财务指标"", ""非经常性损益"", ""资产负债表"", ""利润表"", ""现金流量表"", ""所有者权益变动表""], ""single_row_table_count"": 0}","{""task"": {""stage"": ""completed"", ""status"": ""completed"", ""task_id"": ""a65972d0-aa69-4b76-82ef-a0fc2c030240"", ""filename"": ""网宿科技_CN_300017_2025-12-31_年报_2026-04-14_manual_034c954b.pdf"", ""created_at"": ""2026-05-18T07:57:13Z"", ""completed_at"": ""2026-05-18T08:05:26Z"", ""submit_config"": {""backend"": ""hybrid-http-client"", ""end_page_id"": """", ""parse_method"": ""auto"", ""table_enable"": true, ""start_page_id"": """", ""formula_enable"": true}, ""mineru_task_id"": ""cf6e90fa-6d1d-4864-8f8e-5d4e570477d0"", ""pdf_page_count"": 186}, ""result_payload_summary"": {""backend"": ""hybrid-http-client"", ""version"": ""3.1.2"", ""file_keys"": [""content_list"", ""images"", ""md_content"", ""middle_json"", ""model_output""], ""result_file"": ""网宿科技_CN_300017_2025-12-31_年报_2026-04-14_manual_034c954b""}}",2026-05-18 09:23:07.082411+00,2026-05-18 10:10:58.661458+00
run_3cfa9fdb98c6be155e71cc3c,cc54d88c-dcf9-4122-968b-9d7648876b79,filing_31d47e357c553bbac91518fc,,mineru,3.1.2,1,financial_rules_v14,,,,98,"{""warnings"": [""发现 30 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。""], ""table_count"": 398, ""found_sections"": [""重要提示"", ""公司简介"", ""主要财务指标"", ""管理层讨论与分析"", ""公司治理"", ""重要事项"", ""股份变动"", ""财务报告""], ""image_ref_count"": 17, ""empty_cell_count"": 6502, ""fact_table_count"": 386, ""missing_sections"": [], ""dimension_table_count"": 12, ""found_financial_tables"": [""主要会计数据"", ""主要财务指标"", ""非经常性损益"", ""资产负债表"", ""利润表"", ""现金流量表"", ""所有者权益变动表""], ""single_row_table_count"": 0}","{""task"": {""stage"": null, ""status"": null, ""task_id"": ""cc54d88c-dcf9-4122-968b-9d7648876b79"", ""filename"": ""扬农化工：2025年年度报告.pdf"", ""created_at"": null, ""completed_at"": null, ""submit_config"": {}, ""mineru_task_id"": null, ""pdf_page_count"": null}, ""result_payload_summary"": {""backend"": ""hybrid-http-client"", ""version"": ""3.1.2"", ""file_keys"": [""content_list"", ""images"", ""md_content"", ""middle_json"", ""model_output""], ""result_file"": ""扬农化工：2025年年度报告""}}",2026-05-16 03:51:26.637327+00,2026-05-16 03:51:26.637327+00
run_4c2adef8968fb8735f376274,fa891b66-f881-47cc-ad24-bfb8081d5ded,filing_ff3b827dd982c14ad17cf4bf,,mineru,3.1.2,1,financial_rules_v14,,,,98,"{""warnings"": [""发现 23 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。""], ""table_count"": 259, ""found_sections"": [""重要提示"", ""公司简介"", ""主要财务指标"", ""管理层讨论与分析"", ""公司治理"", ""重要事项"", ""股份变动"", ""财务报告""], ""image_ref_count"": 1, ""empty_cell_count"": 4459, ""fact_table_count"": 239, ""missing_sections"": [], ""dimension_table_count"": 20, ""found_financial_tables"": [""主要会计数据"", ""主要财务指标"", ""非经常性损益"", ""资产负债表"", ""利润表"", ""现金流量表"", ""所有者权益变动表""], ""single_row_table_count"": 4}","{""task"": {""stage"": null, ""status"": null, ""task_id"": ""fa891b66-f881-47cc-ad24-bfb8081d5ded"", ""filename"": ""光库科技：2025年年度报告.pdf"", ""created_at"": null, ""completed_at"": null, ""submit_config"": {}, ""mineru_task_id"": null, ""pdf_page_count"": null}, ""result_payload_summary"": {""backend"": ""hybrid-http-client"", ""version"": ""3.1.2"", ""file_keys"": [""content_list"", ""images"", ""md_content"", ""middle_json"", ""model_output""], ""result_file"": ""光库科技：2025年年度报告""}}",2026-05-16 03:51:38.634879+00,2026-05-16 03:51:38.634879+00
run_50ff810584f564e7c98fa191,1a8c3ca8-3b04-4556-9c7b-7fd4d9c4101f,filing_35df7e004765d658a27f5af3,,mineru,3.1.2,1,financial_rules_v14,,,,98,"{""warnings"": [""发现 5 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。""], ""table_count"": 396, ""found_sections"": [""重要提示"", ""主要财务指标"", ""管理层讨论与分析"", ""公司治理"", ""重要事项"", ""股份变动"", ""财务报告""], ""image_ref_count"": 95, ""empty_cell_count"": 2129, ""fact_table_count"": 391, ""missing_sections"": [""公司简介""], ""dimension_table_count"": 5, ""found_financial_tables"": [""主要会计数据"", ""主要财务指标"", ""非经常性损益"", ""资产负债表"", ""利润表"", ""现金流量表"", ""所有者权益变动表""], ""single_row_table_count"": 0}","{""task"": {""stage"": null, ""status"": null, ""task_id"": ""1a8c3ca8-3b04-4556-9c7b-7fd4d9c4101f"", ""filename"": ""新华保险：新华保险2025年年度报告.pdf"", ""created_at"": null, ""completed_at"": null, ""submit_config"": {}, ""mineru_task_id"": null, ""pdf_page_count"": null}, ""result_payload_summary"": {""backend"": ""hybrid-http-client"", ""version"": ""3.1.2"", ""file_keys"": [""content_list"", ""images"", ""md_content"", ""middle_json"", ""model_output""], ""result_file"": ""新华保险：新华保险2025年年度报告""}}",2026-05-16 03:50:45.088193+00,2026-05-16 03:50:45.088193+00
run_5afeb6676458a400f1a62078,22ec7e69-31c4-487e-a8c9-0de4f0b43d6b,filing_35df7e004765d658a27f5af3,,mineru,3.1.2,1,financial_rules_v14,,,,98,"{""warnings"": [""发现 5 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。""], ""table_count"": 396, ""found_sections"": [""重要提示"", ""主要财务指标"", ""管理层讨论与分析"", ""公司治理"", ""重要事项"", ""股份变动"", ""财务报告""], ""image_ref_count"": 95, ""empty_cell_count"": 2147, ""fact_table_count"": 391, ""missing_sections"": [""公司简介""], ""dimension_table_count"": 5, ""found_financial_tables"": [""主要会计数据"", ""主要财务指标"", ""非经常性损益"", ""资产负债表"", ""利润表"", ""现金流量表"", ""所有者权益变动表""], ""single_row_table_count"": 0}","{""task"": {""stage"": null, ""status"": null, ""task_id"": ""22ec7e69-31c4-487e-a8c9-0de4f0b43d6b"", ""filename"": ""新华保险：新华保险2025年年度报告.pdf"", ""created_at"": null, ""completed_at"": null, ""submit_config"": {}, ""mineru_task_id"": null, ""pdf_page_count"": null}, ""result_payload_summary"": {""backend"": ""hybrid-http-client"", ""version"": ""3.1.2"", ""file_keys"": [""content_list"", ""images"", ""md_content"", ""middle_json"", ""model_output""], ""result_file"": ""新华保险：新华保险2025年年度报告""}}",2026-05-16 03:50:47.273018+00,2026-05-16 03:50:47.273018+00
run_600bf25804f1018764f3c721,d2a891e9-50e7-4887-ad6e-b0f9b79b403a,filing_e1ec00e169a125f15733e6f3,,mineru,3.1.2,1,financial_rules_v14,,,,98,"{""warnings"": [""发现 23 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。""], ""table_count"": 509, ""found_sections"": [""重要提示"", ""公司简介"", ""主要财务指标"", ""公司治理"", ""重要事项"", ""股份变动"", ""财务报告""], ""image_ref_count"": 7, ""empty_cell_count"": 2268, ""fact_table_count"": 488, ""missing_sections"": [""管理层讨论与分析""], ""dimension_table_count"": 21, ""found_financial_tables"": [""主要会计数据"", ""主要财务指标"", ""非经常性损益"", ""资产负债表"", ""利润表"", ""现金流量表"", ""所有者权益变动表""], ""single_row_table_count"": 1}","{""task"": {""stage"": null, ""status"": null, ""task_id"": ""d2a891e9-50e7-4887-ad6e-b0f9b79b403a"", ""filename"": ""中兴通讯：2025年年度报告.pdf"", ""created_at"": null, ""completed_at"": null, ""submit_config"": {}, ""mineru_task_id"": null, ""pdf_page_count"": null}, ""result_payload_summary"": {""backend"": ""hybrid-http-client"", ""version"": ""3.1.2"", ""file_keys"": [""content_list"", ""images"", ""md_content"", ""middle_json"", ""model_output""], ""result_file"": ""中兴通讯：2025年年度报告""}}",2026-05-16 03:51:28.331353+00,2026-05-16 03:51:28.331353+00
run_625c64f5abd898714ea23021,571baa26-c2e7-4647-8810-ea73e715920a,filing_8e840f5b3630100f2726a742,,mineru,3.1.2,1,financial_rules_v14,,,,98,"{""warnings"": [""发现 11 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。""], ""table_count"": 241, ""found_sections"": [""重要提示"", ""公司简介"", ""主要财务指标"", ""管理层讨论与分析"", ""公司治理"", ""重要事项"", ""股份变动"", ""财务报告""], ""image_ref_count"": 4, ""empty_cell_count"": 3304, ""fact_table_count"": 229, ""missing_sections"": [], ""dimension_table_count"": 12, ""found_financial_tables"": [""主要会计数据"", ""主要财务指标"", ""非经常性损益"", ""资产负债表"", ""利润表"", ""现金流量表"", ""所有者权益变动表""], ""single_row_table_count"": 0}","{""task"": {""stage"": null, ""status"": null, ""task_id"": ""571baa26-c2e7-4647-8810-ea73e715920a"", ""filename"": ""赣粤高速：赣粤高速2025年年度报告.pdf"", ""created_at"": null, ""completed_at"": null, ""submit_config"": {}, ""mineru_task_id"": null, ""pdf_page_count"": null}, ""result_payload_summary"": {""backend"": ""hybrid-http-client"", ""version"": ""3.1.2"", ""file_keys"": [""content_list"", ""images"", ""md_content"", ""middle_json"", ""model_output""], ""result_file"": ""赣粤高速：赣粤高速2025年年度报告""}}",2026-05-16 03:50:57.215509+00,2026-05-16 03:50:57.215509+00
run_7dde0c35007ae0f9538a7ec5,9292da4e-0081-4378-81a1-685fad02d5a9,filing_2da0572331946c2c77eeac14,,mineru,3.1.2,1,financial_rules_v14,,,,98,"{""warnings"": [""发现 21 张可疑表样本，建议在前端“优先复核表”中逐项打开可视化溯源。""], ""table_count"": 362, ""found_sections"": [""重要提示"", ""公司简介"", ""主要财务指标"", ""管理层讨论与分析"", ""公司治理"", ""重要事项"", ""股份变动"", ""财务报告""], ""image_ref_count"": 2, ""empty_cell_count"": 4384, ""fact_table_count"": 350, ""missing_sections"": [], ""dimension_table_count"": 12, ""found_financial_tables"": [""主要会计数据"", ""主要财务指标"", ""非经常性损益"", ""资产负债表"", ""利润表"", ""现金流量表"", ""所有者权益变动表""], ""single_row_table_count"": 2}","{""task"": {""stage"": null, ""status"": null, ""task_id"": ""9292da4e-0081-4378-81a1-685fad02d5a9"", ""filename"": ""上海电气：上海电气2025年年度报告.pdf"", ""created_at"": null, ""completed_at"": null, ""submit_config"": {}, ""mineru_task_id"": null, ""pdf_page_count"": null}, ""result_payload_summary"": {""backend"": ""hybrid-http-client"", ""version"": ""3.1.2"", ""file_keys"": [""content_list"", ""images"", ""md_content"", ""middle_json"", ""model_output""], ""result_file"": ""上海电气：上海电气2025年年度报告""}}",2026-05-16 03:51:10.826488+00,2026-05-16 03:51:10.826488+00
